city,raw_listing_rows,missing_or_zero_price_rows,price_iqr_lower_eur,price_iqr_upper_eur,price_outlier_rows_removed,clean_listing_rows_after_price_filter,calendar_unique_listing_ids,calendar_matched_clean_listing_ids,calendar_clean_listing_match_pct,reviews_source_file,raw_review_rows,raw_review_unique_listing_ids,raw_review_matched_listing_ids,raw_review_listing_match_pct,geodata_neighbourhood_rows,final_rows,final_columns,price_median_eur,price_mean_eur,calendar_unavailable_rate_unique_values,rows_missing_calendar_features,rows_missing_raw_review_features
Madrid,25000,6047,-71.0,305.0,1183,17770,25000,17770,100.0,madrid_reviews_2025-09-14.csv,1275992,19853,14945,84.1024,128,17770,88,105.0,114.5985,373,0,2825
Tokyo,27945,2465,-59.2953,284.0236,1715,23765,27945,23765,100.0,tokyo_reviews.csv,1005052,24009,20662,86.943,62,23765,88,95.914,109.813,377,0,3103
