neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,host_is_superhost,host_response_rate,host_acceptance_rate,host_response_time,host_listings_count,instant_bookable,availability_30,availability_60,availability_90,availability_365,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,city,bathrooms,amenities_count,occupancy_q1,occupancy_q2,occupancy_q3,occupancy_q4,occupancy_autumn,occupancy_spring,occupancy_summer,occupancy_winter,occupancy_rate,occupancy_weekday,occupancy_weekend,total_reviews,days_since_last_review,listing_age_days,reviews_last_6m
Cuatro Caminos,40.45471,-3.70016,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,0.7,0.47,within a few hours,8.0,0,30,60,90,365,7,365,1,1,4.0,4.0,4.0,5.0,0.91,77.0,Madrid,1.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3315068493150684,0.0,0.0,,,,
Cuatro Caminos,40.45047658966954,-3.702231695194966,Entire rental unit,Entire home/apt,3,1.0,1.0,0.0,0.98,0.97,within an hour,109.0,1,20,34,34,34,2,365,1,1,4.0,5.0,4.0,4.0,0.17,140.0,Madrid,1.0,23,1.0,1.0,0.9239130434782608,0.7065217391304348,0.6263736263736264,1.0,1.0,1.0,0.3315068493150684,0.9003831417624522,0.9230769230769232,,,,
Cortes,40.4149013,-3.702394699999999,Entire serviced apartment,Entire home/apt,4,1.0,1.0,0.0,1.0,1.0,within an hour,3.0,1,16,41,71,161,2,30,85,36,4.29,4.6,4.61,4.22,3.03,150.0,Madrid,1.0,35,0.1999999999999999,1.0,0.9021739130434784,0.1304347826086956,0.3626373626373627,0.8586956521739131,1.0,0.0,0.3315068493150684,0.5402298850574713,0.6057692307692308,,,,
Acacias,40.40039042960681,-3.703270236778713,Private room in rental unit,Private room,2,1.0,1.0,0.0,1.0,0.99,Unknown,7.0,1,4,22,22,22,1,365,136,97,4.6,4.74,4.6,4.6,7.91,65.0,Madrid,1.0,34,1.0,1.0,1.0,0.7608695652173914,0.7582417582417582,1.0,1.0,1.0,0.3315068493150684,0.9346153846153846,0.9523809523809524,,,,
San Andrés,40.33377,-3.70335,Entire rental unit,Entire home/apt,4,1.0,2.0,0.0,1.0,1.0,within an hour,19.0,1,0,0,0,177,3,1125,24,3,4.88,4.88,4.17,4.83,0.23,79.0,Madrid,2.0,31,0.6666666666666667,0.0,0.3913043478260869,1.0,0.9010989010989012,0.0108695652173913,0.1630434782608695,1.0,0.3315068493150684,0.5076923076923077,0.5333333333333333,,,,
Cuatro Caminos,40.4550626,-3.7005653,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,1.0,1.0,within an hour,30.0,1,16,46,76,351,1,365,0,0,4.75,4.79,4.85,4.64,1.42,181.0,Madrid,1.0,11,0.0,0.0,0.0978260869565217,0.0543478260869565,0.1538461538461538,0.0,0.0,0.0,0.3315068493150684,0.0383141762452107,0.0384615384615384,,,,
Universidad,40.42215,-3.70757,Entire rental unit,Entire home/apt,7,3.0,3.0,0.0,1.0,1.0,within an hour,98.0,1,7,23,49,322,1,1125,514,34,4.57,4.59,4.84,4.53,5.85,117.0,Madrid,2.0,37,0.0222222222222222,0.0,0.1521739130434782,0.2934782608695652,0.4505494505494505,0.0,0.0,0.0222222222222222,0.3315068493150684,0.1264367816091953,0.0961538461538461,,,,
Rejas,40.44506,-3.58414,Entire rental unit,Entire home/apt,4,2.0,3.0,1.0,1.0,0.98,within an hour,1.0,1,14,44,74,324,1,365,25,20,4.76,5.0,4.79,4.79,1.5,140.0,Madrid,2.0,50,0.011111111111111,0.0,0.2717391304347826,0.1630434782608695,0.2307692307692307,0.0,0.0652173913043477,0.1555555555555555,0.3315068493150684,0.1187739463601532,0.0961538461538461,,,,
Recoletos,40.42596,-3.68289,Private room in rental unit,Private room,8,8.0,8.0,0.0,0.06,0.15,a few days or more,216.0,0,0,0,0,256,30,90,0,0,4.75,4.79,4.85,4.64,1.42,21.0,Madrid,3.0,7,0.0,0.0,0.1847826086956522,1.0,0.8571428571428572,0.0,0.0,0.3444444444444444,0.3315068493150684,0.3,0.2952380952380952,,,,
Universidad,40.4206092,-3.7016811,Entire rental unit,Entire home/apt,3,2.0,2.0,0.0,0.9,1.0,within an hour,9.0,1,5,21,40,51,1,365,7,7,4.71,4.86,5.0,4.57,1.25,122.0,Madrid,1.0,5,1.0,1.0,0.967391304347826,0.4782608695652174,0.6483516483516483,1.0,1.0,0.7888888888888889,0.3315068493150684,0.8352490421455938,0.9230769230769232,,,,
Embajadores,40.41262955291232,-3.70292682348932,Private room in rental unit,Private room,2,1.0,1.0,0.0,0.86,0.21,within a day,1.0,0,23,53,83,263,1,365,3,1,5.0,5.0,4.67,5.0,0.19,126.0,Madrid,1.0,5,0.0,0.2087912087912088,0.9021739130434784,0.0,0.2307692307692307,0.0,0.8804347826086957,0.0,0.3315068493150684,0.2720306513409961,0.2980769230769231,,,,
Pacífico,40.40438,-3.67687,Entire rental unit,Entire home/apt,8,4.0,5.0,0.0,1.0,0.98,within an hour,41.0,1,29,59,89,364,30,365,0,0,4.75,4.79,4.85,4.64,1.42,267.0,Madrid,2.0,27,0.0,0.0,0.0108695652173913,0.0,0.0109890109890109,0.0,0.0,0.0,0.3315068493150684,0.0,0.0095238095238094,,,,
Universidad,40.42126,-3.70305,Entire rental unit,Entire home/apt,3,1.0,2.0,1.0,1.0,0.99,within an hour,1.0,1,0,0,10,17,30,90,879,84,4.74,4.76,4.92,4.77,6.52,98.0,Madrid,1.0,37,1.0,1.0,1.0,0.8152173913043479,0.934065934065934,1.0,1.0,0.8777777777777778,0.3315068493150684,0.942528735632184,0.9807692307692308,,,,
Palacio,40.41024112329614,-3.711080948555229,Entire rental unit,Entire home/apt,6,1.0,4.0,0.0,1.0,0.98,within an hour,63.0,1,13,38,66,338,1,365,3,3,3.67,4.0,4.0,3.67,0.51,270.0,Madrid,1.0,10,0.0,0.0329670329670329,0.0760869565217391,0.1847826086956522,0.2637362637362637,0.0108695652173913,0.0217391304347825,0.0,0.3315068493150684,0.0613026819923371,0.1057692307692307,,,,
Palos de Moguer,40.40214,-3.69999,Private room in rental unit,Private room,2,1.0,1.0,0.0,1.0,1.0,within an hour,138.0,1,15,45,75,350,1,365,2,2,4.5,5.0,4.0,5.0,0.22,112.0,Madrid,1.0,12,0.0,0.0,0.1304347826086956,0.0326086956521739,0.1648351648351648,0.0,0.0,0.0,0.3315068493150684,0.0384615384615384,0.0476190476190476,,,,
Delicias,40.39894,-3.69332,Private room in rental unit,Private room,2,1.0,1.0,0.0,1.0,0.99,Unknown,1.0,0,29,59,89,364,30,365,0,0,4.75,4.79,4.85,4.64,1.42,40.0,Madrid,1.5,9,0.0,0.0,0.0108695652173913,0.0,0.0109890109890109,0.0,0.0,0.0,0.3315068493150684,0.0,0.0095238095238094,,,,
Sol,40.41425,-3.70597,Entire rental unit,Entire home/apt,2,1.0,2.0,1.0,1.0,0.91,within a few hours,1.0,0,3,15,34,34,30,180,0,0,4.75,4.79,4.85,4.64,1.42,88.0,Madrid,1.5,36,1.0,1.0,0.967391304347826,0.6630434782608696,0.6483516483516483,1.0,1.0,0.9777777777777776,0.3315068493150684,0.9042145593869731,0.9134615384615384,,,,
Ibiza,40.4166,-3.67486,Private room in rental unit,Private room,2,1.0,0.0,0.0,0.94,0.99,within an hour,23.0,1,5,16,30,305,2,21,0,0,4.75,4.79,4.85,4.64,1.42,48.0,Madrid,1.0,9,0.0,0.0,0.1739130434782608,0.4782608695652174,0.5934065934065934,0.0,0.0,0.0666666666666666,0.3315068493150684,0.1615384615384615,0.1714285714285713,,,,
Moscardó,40.38818,-3.70953,Entire rental unit,Entire home/apt,4,1.0,2.0,0.0,1.0,1.0,within an hour,1.0,1,3,3,3,259,2,365,6,6,4.33,4.67,4.33,4.33,1.59,97.0,Madrid,1.0,27,0.0,0.0,0.1521739130434782,1.0,0.8241758241758241,0.0,0.0,0.3444444444444444,0.3315068493150684,0.2884615384615384,0.2952380952380952,,,,
Embajadores,40.408896093665135,-3.7014745363432473,Entire rental unit,Entire home/apt,2,1.0,2.0,1.0,1.0,1.0,within an hour,1.0,0,0,18,45,135,2,730,454,65,4.8,4.87,4.65,4.76,5.31,122.0,Madrid,1.0,45,1.0,0.2087912087912088,1.0,0.3152173913043478,0.6483516483516483,0.3369565217391305,0.8804347826086957,0.6555555555555556,0.3315068493150684,0.6206896551724138,0.6538461538461539,,,,
Embajadores,40.40882,-3.69954,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,1.0,0.6,within a few hours,2.0,0,5,35,65,340,28,365,0,0,4.75,4.79,4.85,4.64,1.42,50.0,Madrid,1.0,11,0.0,0.0,0.1739130434782608,0.0978260869565217,0.2747252747252747,0.0,0.0,0.0,0.3315068493150684,0.0727969348659003,0.0576923076923077,,,,
Gaztambide,40.43881794767281,-3.7143174500423455,Entire rental unit,Entire home/apt,4,2.0,2.0,0.0,1.0,0.94,within an hour,362.0,1,8,8,26,192,1,365,2,2,5.0,5.0,5.0,5.0,1.5,146.0,Madrid,2.0,34,0.0,0.3626373626373627,0.967391304347826,0.5543478260869565,0.8571428571428572,0.0326086956521739,1.0,0.0,0.3315068493150684,0.475095785440613,0.4711538461538461,,,,
Comillas,40.39347,-3.70866,Private room in rental unit,Private room,2,1.0,1.0,0.0,0.0,0.99,a few days or more,1.0,0,30,60,90,365,10,365,0,0,4.75,4.79,4.85,4.64,1.42,58.0,Madrid,2.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3315068493150684,0.0,0.0,,,,
Atocha,40.39796,-3.67904,Entire rental unit,Entire home/apt,6,2.0,4.0,0.0,0.99,0.99,within an hour,338.0,1,5,5,5,5,1,1125,34,34,4.94,4.97,4.91,4.88,3.04,183.0,Madrid,2.0,24,1.0,1.0,1.0,0.9456521739130436,0.945054945054945,1.0,1.0,1.0,0.3315068493150684,0.9884615384615384,0.9809523809523808,,,,
Arapiles,40.43248759999999,-3.7113871,Entire rental unit,Entire home/apt,4,1.0,0.0,0.0,0.89,1.0,within an hour,5.0,1,16,40,70,88,1,365,1,1,5.0,5.0,5.0,4.0,0.12,288.0,Madrid,2.0,39,1.0,1.0,0.9782608695652174,0.0652173913043477,0.3736263736263736,1.0,1.0,0.6555555555555556,0.3315068493150684,0.7547892720306514,0.7692307692307692,,,,
Embajadores,40.40963,-3.70855,Entire serviced apartment,Entire home/apt,8,3.0,9.0,1.0,1.0,1.0,within an hour,4.0,1,7,14,19,25,2,90,117,16,4.94,4.93,4.92,4.84,1.01,225.0,Madrid,2.0,32,1.0,1.0,0.9456521739130436,0.782608695652174,0.8131868131868132,1.0,1.0,0.9111111111111112,0.3315068493150684,0.9157088122605364,0.971153846153846,,,,
Lucero,40.405933340874505,-3.749366972591888,Private room in rental unit,Private room,1,1.0,1.0,0.0,1.0,1.0,within an hour,1.0,0,0,0,0,71,2,364,7,3,5.0,5.0,4.71,5.0,0.4,27.0,Madrid,1.0,8,0.2111111111111111,1.0,1.0,1.0,1.0,0.8695652173913043,1.0,0.3444444444444444,0.3315068493150684,0.8038461538461539,0.8095238095238095,,,,
Lista,40.43486,-3.6783229,Private room in home,Private room,1,1.0,1.0,1.0,1.0,0.63,Unknown,2.0,0,0,0,0,265,30,365,6,6,4.83,4.67,4.83,4.5,0.51,30.0,Madrid,2.0,4,0.0,0.0,0.1847826086956522,0.9021739130434784,0.8571428571428572,0.0,0.0,0.2444444444444444,0.3315068493150684,0.2730769230769231,0.2761904761904762,,,,
Palacio,40.4231341,-3.710691,Entire serviced apartment,Entire home/apt,10,4.0,5.0,1.0,1.0,1.0,within an hour,22.0,1,9,27,51,305,1,1125,19,19,4.79,4.95,4.95,4.63,3.9,287.0,Madrid,3.0,45,0.0888888888888889,0.0,0.1521739130434782,0.4130434782608695,0.4065934065934066,0.0,0.0,0.2555555555555555,0.3315068493150684,0.160919540229885,0.1730769230769231,,,,
Bellas Vistas,40.45003,-3.70447,Entire rental unit,Entire home/apt,8,3.0,4.0,0.0,0.99,0.99,within an hour,338.0,1,6,24,51,322,1,1125,30,24,4.5,4.73,4.2,4.27,1.92,197.0,Madrid,3.0,22,0.0,0.0,0.217391304347826,0.25,0.4725274725274725,0.0,0.0,0.0,0.3315068493150684,0.1149425287356321,0.125,,,,
Embajadores,40.4124394,-3.7014673,Private room in rental unit,Private room,2,1.0,0.0,0.0,0.93,0.99,within an hour,32.0,1,18,48,78,353,2,21,1,1,5.0,5.0,5.0,5.0,1.0,63.0,Madrid,1.0,9,0.0,0.0,0.1195652173913043,0.0108695652173913,0.1318681318681318,0.0,0.0,0.0,0.3315068493150684,0.0344827586206896,0.0288461538461538,,,,
Comillas,40.39276,-3.71096,Entire rental unit,Entire home/apt,4,1.0,2.0,0.0,1.0,0.98,within an hour,5.0,0,11,18,48,48,2,1125,151,30,4.65,4.65,4.18,4.48,2.6,78.0,Madrid,1.0,30,1.0,1.0,0.9891304347826086,0.4891304347826086,0.6043956043956045,1.0,1.0,0.8666666666666667,0.3315068493150684,0.8692307692307693,0.8666666666666667,,,,
Guindalera,40.43369879999999,-3.6722668,Entire rental unit,Entire home/apt,4,0.0,2.0,0.0,0.91,0.99,within an hour,21.0,1,10,36,57,83,1,365,4,4,5.0,5.0,5.0,4.75,0.71,170.0,Madrid,1.0,16,0.9111111111111112,1.0,0.9891304347826086,0.1956521739130434,0.4725274725274725,1.0,1.0,0.6111111111111112,0.3315068493150684,0.7624521072796935,0.7980769230769231,,,,
Almagro,40.42908,-3.69209,Entire rental unit,Entire home/apt,5,3.0,3.0,0.0,0.97,0.99,within an hour,904.0,1,0,0,0,206,30,1125,4,0,4.25,4.0,4.75,4.0,0.1,196.0,Madrid,4.0,28,0.1777777777777778,0.0,0.5543478260869565,1.0,1.0,0.0,0.2282608695652174,0.5222222222222221,0.3315068493150684,0.4384615384615384,0.4285714285714286,,,,
Castilla,40.47053,-3.68546,Entire rental unit,Entire home/apt,3,1.0,3.0,1.0,1.0,0.79,within an hour,4.0,0,7,37,67,158,29,330,209,4,4.93,4.93,4.84,4.85,1.78,77.0,Madrid,1.0,41,0.1999999999999999,1.0,1.0,0.0652173913043477,0.3956043956043956,0.8586956521739131,1.0,0.0,0.3315068493150684,0.5615384615384615,0.5809523809523809,,,,
Embajadores,40.41126,-3.69833,Entire rental unit,Entire home/apt,4,1.0,2.0,1.0,1.0,0.88,within an hour,3.0,0,4,18,40,122,3,365,31,30,4.81,4.74,4.87,4.68,1.43,113.0,Madrid,1.0,17,0.2888888888888888,1.0,0.9891304347826086,0.3804347826086957,0.6703296703296704,0.8586956521739131,1.0,0.1222222222222222,0.3315068493150684,0.6666666666666667,0.6634615384615384,,,,
Valdeacederas,40.46339,-3.69792,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,0.51,0.28,within a day,68.0,0,5,31,61,336,5,365,1,1,5.0,4.0,5.0,5.0,0.46,68.0,Madrid,1.0,18,0.0,0.0,0.1413043478260869,0.1739130434782608,0.3186813186813186,0.0,0.0,0.0,0.3315068493150684,0.0766283524904214,0.0865384615384615,,,,
Bellas Vistas,40.45110880833448,-3.708605608759744,Entire rental unit,Entire home/apt,4,4.0,4.0,0.0,1.0,0.78,within an hour,40.0,0,0,1,1,226,30,365,0,0,4.75,4.79,4.85,4.64,1.42,130.0,Madrid,2.0,9,0.3444444444444444,0.0,0.1847826086956522,0.9891304347826086,0.8461538461538461,0.0,0.0,0.6888888888888889,0.3315068493150684,0.3846153846153846,0.3714285714285714,,,,
Palacio,40.41114,-3.71247,Entire rental unit,Entire home/apt,4,1.0,1.0,0.0,0.86,0.95,within an hour,76.0,1,9,30,58,148,3,365,1,1,1.0,1.0,4.0,1.0,0.51,112.0,Madrid,1.0,21,0.1999999999999999,1.0,0.9891304347826086,0.1847826086956522,0.5054945054945055,0.8586956521739131,1.0,0.0,0.3315068493150684,0.5862068965517242,0.6153846153846154,,,,
Universidad,40.4243695,-3.7026741,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,0.83,1.0,within a day,250.0,1,0,0,0,183,30,1125,4,0,4.5,4.0,4.5,4.5,0.24,147.0,Madrid,1.0,26,0.8222222222222222,0.0,0.1739130434782608,1.0,0.8461538461538461,0.1630434782608695,0.0,1.0,0.3315068493150684,0.4980842911877394,0.5,,,,
Valverde,40.50377,-3.68884,Entire bungalow,Entire home/apt,2,1.0,1.0,1.0,1.0,0.96,within an hour,1.0,0,14,34,59,325,4,15,312,19,4.85,4.88,4.81,4.84,2.12,88.0,Madrid,1.0,66,0.0,0.0,0.1304347826086956,0.3043478260869565,0.2857142857142857,0.0,0.0,0.1555555555555555,0.3315068493150684,0.1153846153846154,0.0952380952380952,,,,
Campamento,40.39504,-3.772,Private room in rental unit,Private room,1,1.0,1.0,0.0,0.33,0.25,a few days or more,1.0,0,28,58,88,363,1,365,0,0,4.75,4.79,4.85,4.64,1.42,40.0,Madrid,2.0,4,0.0,0.0,0.0217391304347825,0.0,0.021978021978022,0.0,0.0,0.0,0.3315068493150684,0.0038461538461538,0.0095238095238094,,,,
Palacio,40.4221535,-3.7108885,Entire rental unit,Entire home/apt,3,2.0,2.0,0.0,0.98,0.99,within an hour,957.0,1,1,9,21,188,1,365,6,3,4.67,4.67,5.0,4.67,0.41,199.0,Madrid,1.0,32,0.5222222222222221,0.5824175824175823,0.25,0.5869565217391304,0.7252747252747253,0.5652173913043479,0.25,0.4,0.3315068493150684,0.4712643678160919,0.5192307692307692,,,,
Pacífico,40.4049111,-3.6755919,Entire rental unit,Entire home/apt,4,2.0,2.0,0.0,1.0,0.33,within an hour,5.0,0,10,26,49,210,1,14,10,5,5.0,5.0,5.0,4.9,0.42,168.0,Madrid,1.0,44,0.0,0.3956043956043956,0.9456521739130436,0.3478260869565217,0.5604395604395604,0.0652173913043477,1.0,0.0666666666666666,0.3315068493150684,0.3961538461538462,0.4952380952380952,,,,
Castellana,40.43723,-3.68173,Entire rental unit,Entire home/apt,6,2.0,3.0,1.0,1.0,1.0,within an hour,10.0,1,6,35,65,83,2,364,120,34,4.78,4.84,4.75,4.65,3.63,279.0,Madrid,2.0,48,1.0,1.0,0.9891304347826086,0.108695652173913,0.4175824175824175,1.0,1.0,0.6666666666666667,0.3315068493150684,0.7653846153846153,0.7904761904761904,,,,
Palacio,40.41298,-3.71126,Entire loft,Entire home/apt,2,0.0,1.0,0.0,1.0,1.0,within an hour,1.0,1,9,28,28,28,3,1125,193,23,4.6,4.62,4.94,4.47,2.13,50.0,Madrid,1.0,26,1.0,1.0,1.0,0.6956521739130435,0.6923076923076923,1.0,1.0,1.0,0.3315068493150684,0.9233716475095786,0.9230769230769232,,,,
Palos de Moguer,40.40445,-3.69559,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,1.0,0.98,within an hour,9.0,0,6,27,56,331,1,30,262,83,4.58,4.71,4.82,4.4,7.29,93.0,Madrid,1.0,34,0.0,0.0,0.1413043478260869,0.2282608695652174,0.3736263736263736,0.0,0.0,0.0,0.3315068493150684,0.0884615384615384,0.1047619047619047,,,,
Universidad,40.4257128,-3.7121573,Entire rental unit,Entire home/apt,4,2.0,3.0,1.0,1.0,1.0,within an hour,3.0,0,5,16,34,270,2,180,74,56,4.91,4.96,4.93,4.88,4.71,216.0,Madrid,2.0,51,0.3333333333333333,0.0,0.1521739130434782,0.5543478260869565,0.6153846153846154,0.0,0.0,0.4333333333333333,0.3315068493150684,0.2490421455938697,0.2884615384615384,,,,
Valdeacederas,40.46861,-3.70585,Entire rental unit,Entire home/apt,2,0.0,1.0,0.0,0.9,0.41,within a few hours,60.0,0,12,42,72,72,4,365,11,3,4.27,4.64,4.18,4.27,0.33,78.0,Madrid,1.0,30,1.0,1.0,0.967391304347826,0.25,0.3406593406593406,1.0,1.0,0.8666666666666667,0.3315068493150684,0.8038461538461539,0.8,,,,
Palacio,40.40955,-3.71055,Entire rental unit,Entire home/apt,2,1.0,2.0,0.0,1.0,0.78,Unknown,3.0,0,0,0,0,97,30,365,72,2,4.7,4.71,4.86,4.68,0.52,86.0,Madrid,1.0,28,1.0,0.7692307692307692,0.1739130434782608,1.0,0.8461538461538461,1.0,0.0978260869565217,1.0,0.3315068493150684,0.735632183908046,0.7307692307692308,,,,
Nueva España,40.45936,-3.68618,Entire rental unit,Entire home/apt,4,2.0,4.0,1.0,1.0,0.98,within an hour,1.0,1,6,22,48,211,2,1125,150,26,4.78,4.71,4.85,4.63,1.65,175.0,Madrid,1.0,34,0.0999999999999999,0.2087912087912088,0.9565217391304348,0.4130434782608695,0.6043956043956045,0.0543478260869565,0.8804347826086957,0.1444444444444445,0.3315068493150684,0.4,0.4761904761904761,,,,
Ciudad Universitaria,40.45731,-3.71383,Entire condo,Entire home/apt,3,2.0,2.0,0.0,0.05,0.0,a few days or more,100.0,0,0,0,0,257,30,180,0,0,4.75,4.79,4.85,4.64,1.42,70.0,Madrid,1.0,18,0.0,0.0,0.1847826086956522,0.9891304347826086,0.8571428571428572,0.0,0.0,0.3333333333333333,0.3315068493150684,0.2961538461538461,0.2952380952380952,,,,
San Andrés,40.333435,-3.702781,Entire rental unit,Entire home/apt,4,1.0,2.0,0.0,1.0,1.0,within an hour,19.0,1,1,1,1,172,3,1125,34,7,4.59,4.71,3.94,4.38,0.48,76.0,Madrid,2.0,33,0.7333333333333334,0.0,0.3804347826086957,1.0,0.8901098901098901,0.0760869565217391,0.1630434782608695,1.0,0.3315068493150684,0.5192307692307692,0.5523809523809524,,,,
Fontarrón,40.40344,-3.64482,Private room in rental unit,Private room,2,1.0,1.0,1.0,1.0,1.0,within an hour,5.0,1,0,9,18,223,2,30,36,5,4.89,4.83,4.78,4.83,0.48,40.0,Madrid,2.0,43,0.5888888888888889,0.0,0.1847826086956522,0.782608695652174,0.6593406593406593,0.0,0.0,0.9111111111111112,0.3315068493150684,0.4153846153846153,0.3238095238095237,,,,
Acacias,40.4014384,-3.7016235,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,0.99,1.0,within an hour,149.0,1,13,43,73,348,1,365,1,1,4.0,4.0,5.0,4.0,1.0,121.0,Madrid,1.0,27,0.0,0.0,0.1304347826086956,0.0543478260869565,0.1868131868131868,0.0,0.0,0.0,0.3315068493150684,0.0384615384615384,0.0666666666666666,,,,
Palacio,40.4114177,-3.7146551,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,1.0,0.88,within an hour,163.0,0,5,5,5,274,30,365,0,0,4.75,4.79,4.85,4.64,1.42,81.0,Madrid,1.0,21,0.0,0.0,0.1195652173913043,0.8695652173913043,0.7912087912087912,0.0,0.0,0.2111111111111111,0.3315068493150684,0.2490421455938697,0.25,,,,
Colina,40.46101,-3.66232,Entire rental unit,Entire home/apt,6,2.0,4.0,0.0,1.0,0.99,Unknown,60.0,1,0,12,27,243,7,336,5,1,4.0,4.4,4.2,3.2,0.13,154.0,Madrid,2.0,40,0.1777777777777778,0.0,0.5543478260869565,0.5978260869565217,0.7802197802197802,0.0,0.2282608695652174,0.3333333333333333,0.3315068493150684,0.3423076923076923,0.3142857142857143,,,,
Valdeacederas,40.46474,-3.70315,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,1.0,0.98,within an hour,9.0,1,5,25,55,84,2,1125,33,15,4.67,4.76,4.42,4.61,0.95,108.0,Madrid,1.0,25,0.8777777777777778,1.0,1.0,0.2065217391304348,0.5384615384615384,1.0,1.0,0.5333333333333333,0.3315068493150684,0.7662835249042146,0.7788461538461539,,,,
Justicia,40.42278,-3.69595,Entire rental unit,Entire home/apt,4,2.0,3.0,0.0,1.0,0.99,Unknown,1.0,1,0,0,12,74,4,360,222,51,4.86,4.88,4.93,4.84,2.6,196.0,Madrid,2.0,43,0.4444444444444444,1.0,1.0,0.7391304347826086,0.956043956043956,1.0,1.0,0.2222222222222222,0.3315068493150684,0.7923076923076923,0.8095238095238095,,,,
Universidad,40.42224,-3.70593,Entire home,Entire home/apt,4,1.0,2.0,1.0,1.0,1.0,within an hour,3.0,0,14,41,71,89,2,365,242,41,4.93,4.92,4.92,4.85,3.01,183.0,Madrid,1.0,51,1.0,1.0,0.9347826086956522,0.0978260869565217,0.3626373626373627,1.0,1.0,0.6555555555555556,0.3315068493150684,0.7471264367816092,0.7788461538461539,,,,
Universidad,40.42918814784497,-3.704042239675085,Entire rental unit,Entire home/apt,6,3.0,4.0,1.0,1.0,1.0,within an hour,2.0,1,2,8,13,13,3,90,12,12,5.0,5.0,4.92,5.0,3.6,252.0,Madrid,2.5,38,1.0,1.0,0.9891304347826086,0.8695652173913043,0.8571428571428572,1.0,1.0,1.0,0.3315068493150684,0.9540229885057472,0.9903846153846154,,,,
Justicia,40.42489263980826,-3.6987544454510872,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,0.86,0.57,within a day,541.0,0,0,0,0,218,1,365,1,1,5.0,5.0,5.0,4.0,0.41,104.0,Madrid,1.0,17,0.4333333333333333,0.0,0.1739130434782608,1.0,0.8461538461538461,0.0,0.0,0.7777777777777778,0.3315068493150684,0.4022988505747126,0.4038461538461538,,,,
Castellana,40.43669,-3.68417,Entire rental unit,Entire home/apt,3,1.0,2.0,1.0,1.0,1.0,within a few hours,1.0,1,0,0,0,174,30,730,14,6,4.93,4.64,5.0,4.57,0.59,108.0,Madrid,1.0,37,0.0,0.2087912087912088,1.0,0.8695652173913043,1.0,0.0,0.8804347826086957,0.2111111111111111,0.3315068493150684,0.523076923076923,0.5238095238095238,,,,
Almenara,40.47258696844168,-3.694569103620661,Entire loft,Entire home/apt,4,0.0,2.0,0.0,0.62,1.0,within an hour,12.0,1,7,14,29,303,1,365,4,2,4.25,4.75,4.5,5.0,0.23,91.0,Madrid,1.0,41,0.011111111111111,0.0,0.1304347826086956,0.5326086956521738,0.5934065934065934,0.0,0.0,0.0888888888888889,0.3315068493150684,0.160919540229885,0.1923076923076923,,,,
Universidad,40.42744,-3.70658,Entire rental unit,Entire home/apt,4,1.0,1.0,0.0,0.57,0.0,within a day,1.0,0,0,6,23,261,7,60,284,0,4.83,4.8,4.87,4.8,1.87,73.0,Madrid,1.0,30,0.0888888888888889,0.2857142857142857,0.1739130434782608,0.5869565217391304,0.7032967032967032,0.2826086956521739,0.0,0.1555555555555555,0.3315068493150684,0.2911877394636015,0.2692307692307693,,,,
Aravaca,40.44742,-3.77827,Entire rental unit,Entire home/apt,5,3.0,4.0,1.0,1.0,0.89,within an hour,6.0,0,0,12,42,317,30,360,0,0,4.75,4.79,4.85,4.64,1.42,190.0,Madrid,2.0,42,0.0,0.0,0.1847826086956522,0.3369565217391305,0.5274725274725275,0.0,0.0,0.0,0.3315068493150684,0.1346153846153845,0.1238095238095238,,,,
Prosperidad,40.44224,-3.67307,Entire rental unit,Entire home/apt,4,0.0,1.0,0.0,0.51,0.28,within a day,68.0,1,15,26,56,331,30,365,0,0,4.75,4.79,4.85,4.64,1.42,49.0,Madrid,1.0,22,0.0,0.0,0.0108695652173913,0.3586956521739131,0.3736263736263736,0.0,0.0,0.0,0.3315068493150684,0.0919540229885057,0.0961538461538461,,,,
Delicias,40.39976,-3.68538,Private room in rental unit,Private room,1,1.0,1.0,1.0,1.0,0.67,within a few hours,18.0,0,0,0,29,304,30,365,1,1,5.0,5.0,5.0,4.0,0.34,35.0,Madrid,1.0,26,0.0,0.0,0.1847826086956522,0.4782608695652174,0.6703296703296704,0.0,0.0,0.0,0.3315068493150684,0.1692307692307691,0.1619047619047618,,,,
