neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,host_is_superhost,host_response_rate,host_acceptance_rate,host_response_time,host_listings_count,instant_bookable,availability_30,availability_60,availability_90,availability_365,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,city,bathrooms,amenities_count,occupancy_q1,occupancy_q2,occupancy_q3,occupancy_q4,occupancy_autumn,occupancy_spring,occupancy_summer,occupancy_winter,occupancy_rate,occupancy_weekday,occupancy_weekend,total_reviews,days_since_last_review,listing_age_days,reviews_last_6m
Universidad,40.42489,-3.70308,Entire rental unit,Entire home/apt,3,1.0,2.0,0.0,0.96,1.0,within an hour,89.0,1,2,2,12,287,1,1125,1,1,4.0,5.0,5.0,4.0,0.5,98.0,Madrid,1.0,24,0.0,0.0,0.1630434782608695,0.6847826086956521,0.8241758241758241,0.0,0.0,0.0333333333333333,0.3315068493150684,0.2145593869731801,0.2115384615384615,,,,
Universidad,40.42020274772189,-3.702741825818744,Private room in home,Private room,1,1.0,1.0,0.0,1.0,1.0,within an hour,12.0,1,7,29,58,329,1,365,66,66,4.61,4.7,4.89,4.58,5.48,51.0,Madrid,3.0,4,0.0,0.0329670329670329,0.1521739130434782,0.2065217391304348,0.3516483516483516,0.0326086956521739,0.0,0.011111111111111,0.3315068493150684,0.0957854406130268,0.1057692307692307,,,,
Arapiles,40.43348,-3.70832,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,1.0,0.99,within an hour,44.0,0,0,0,11,286,30,365,120,4,4.42,4.63,4.81,4.33,2.35,81.0,Madrid,1.0,28,0.0,0.0,0.1739130434782608,0.6847826086956521,0.8461538461538461,0.0,0.0,0.0222222222222222,0.3315068493150684,0.2183908045977011,0.2115384615384615,,,,
Castellana,40.42969,-3.68397,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1.0,1.0,within an hour,5.0,1,4,7,7,8,1,1125,80,44,4.95,4.95,4.99,4.85,1.53,126.0,Madrid,1.0,14,1.0,0.989010989010989,0.9891304347826086,0.9347826086956522,0.9230769230769232,1.0,0.9891304347826086,1.0,0.3315068493150684,0.9692307692307692,1.0,,,,
Palos de Moguer,40.40586,-3.69494,Entire loft,Entire home/apt,3,1.0,2.0,1.0,1.0,0.98,within an hour,12.0,0,2,24,53,138,1,365,737,66,4.81,4.86,4.9,4.77,7.49,121.0,Madrid,1.0,30,0.7,1.0,0.5760869565217391,0.217391304347826,0.3956043956043956,1.0,0.7173913043478262,0.3666666666666667,0.3315068493150684,0.6307692307692307,0.6,,,,
Sol,40.41687,-3.7037,Private room in tiny home,Private room,3,0.0,1.0,0.0,1.0,0.85,within a few hours,9.0,0,9,10,33,126,3,365,15,7,4.6,4.67,5.0,4.53,0.43,83.0,Madrid,1.0,37,0.9,1.0,0.2282608695652174,0.5,0.6263736263736264,1.0,0.4347826086956522,0.5555555555555556,0.3315068493150684,0.6513409961685823,0.6634615384615384,,,,
Comillas,40.39570966406136,-3.708942733499864,Entire rental unit,Entire home/apt,4,2.0,2.0,1.0,1.0,0.97,within an hour,1.0,1,9,37,67,237,3,365,63,34,4.76,4.68,4.68,4.6,3.18,146.0,Madrid,2.0,27,0.0,0.3296703296703297,0.9891304347826086,0.0760869565217391,0.3956043956043956,0.0,1.0,0.0,0.3315068493150684,0.35,0.3523809523809523,,,,
Ibiza,40.42069,-3.6777,Entire rental unit,Entire home/apt,6,2.0,4.0,0.0,1.0,1.0,within an hour,3.0,1,3,11,27,31,2,730,200,78,4.75,4.78,4.86,4.7,1.43,237.0,Madrid,1.0,61,1.0,1.0,1.0,0.6630434782608696,0.7692307692307692,1.0,1.0,0.8888888888888888,0.3315068493150684,0.896551724137931,0.9615384615384616,,,,
Palacio,40.42032952842066,-3.7082979049801055,Entire rental unit,Entire home/apt,4,1.0,2.0,0.0,1.0,0.99,within an hour,34.0,1,0,6,20,61,2,1124,31,4,4.26,4.23,5.0,4.29,0.46,214.0,Madrid,1.0,29,0.6888888888888889,1.0,1.0,0.6413043478260869,0.8791208791208791,1.0,1.0,0.4444444444444444,0.3315068493150684,0.8314176245210728,0.8365384615384616,,,,
Palacio,40.42266984228382,-3.7114921338911695,Private room in rental unit,Private room,2,1.0,1.0,0.0,0.99,1.0,within an hour,10.0,1,27,57,87,106,1,365,121,121,4.31,4.31,4.66,4.12,11.98,129.0,Madrid,1.0,36,1.0,1.0,0.8478260869565217,0.0,0.1758241758241758,1.0,1.0,0.6555555555555556,0.3315068493150684,0.7076923076923076,0.7142857142857143,,,,
Imperial,40.409268624598944,-3.719491073972482,Private room in rental unit,Private room,1,1.0,1.0,0.0,0.86,0.88,within an hour,1.0,1,5,25,51,225,1,7,12,12,5.0,5.0,4.67,4.67,2.69,57.0,Madrid,1.0,8,0.0222222222222222,0.2417582417582418,1.0,0.2608695652173913,0.5714285714285714,0.0217391304347825,0.8913043478260869,0.0444444444444444,0.3315068493150684,0.3576923076923076,0.4476190476190476,,,,
Sol,40.41517281876151,-3.708042486712243,Private room in rental unit,Private room,2,1.0,1.0,1.0,1.0,0.92,within an hour,6.0,0,9,32,62,242,2,28,156,85,4.83,4.87,4.92,4.78,6.9,82.0,Madrid,1.0,30,0.0,0.2087912087912088,0.967391304347826,0.1630434782608695,0.4615384615384615,0.0,0.8804347826086957,0.0,0.3315068493150684,0.3218390804597701,0.375,,,,
Universidad,40.42227,-3.70282,Shared room in hostel,Shared room,10,1.0,10.0,0.0,1.0,0.98,within an hour,12.0,0,26,56,86,361,1,5,34,13,4.59,4.56,4.79,4.56,0.93,33.0,Madrid,2.0,27,0.0,0.0,0.0434782608695651,0.0,0.0439560439560439,0.0,0.0,0.0,0.3315068493150684,0.007662835249042,0.0192307692307692,,,,
Palacio,40.41449,-3.71083,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,1.0,0.94,within a few hours,26.0,0,1,3,12,108,1,365,30,9,4.97,4.8,4.97,4.6,0.79,92.0,Madrid,1.0,44,0.7333333333333334,0.2087912087912088,0.9891304347826086,0.8804347826086957,0.967032967032967,0.2391304347826086,0.8804347826086957,0.7333333333333334,0.3315068493150684,0.6973180076628352,0.7211538461538461,,,,
Palacio,40.41714,-3.70915,Entire rental unit,Entire home/apt,3,1.0,1.0,0.0,1.0,0.99,Unknown,12.0,1,27,57,74,74,28,365,0,0,4.75,4.79,4.85,4.64,1.42,195.0,Madrid,1.0,25,1.0,1.0,0.8478260869565217,0.3478260869565217,0.1868131868131868,1.0,1.0,1.0,0.3315068493150684,0.8007662835249042,0.7884615384615384,,,,
Palacio,40.42,-3.70922,Entire loft,Entire home/apt,3,1.0,2.0,1.0,1.0,1.0,within an hour,11.0,1,0,8,29,159,1,28,310,116,4.82,4.83,4.97,4.81,7.62,100.0,Madrid,1.0,28,0.0444444444444444,0.6703296703296704,1.0,0.5326086956521738,0.7912087912087912,0.3586956521739131,1.0,0.0999999999999999,0.3315068493150684,0.5555555555555556,0.5865384615384616,,,,
Castillejos,40.45897098796615,-3.6923636925164014,Private room in rental unit,Private room,1,1.0,1.0,0.0,0.06,0.15,a few days or more,216.0,0,0,0,0,257,30,90,0,0,4.75,4.79,4.85,4.64,1.42,20.0,Madrid,4.0,7,0.0,0.0,0.1739130434782608,1.0,0.8461538461538461,0.0,0.0,0.3444444444444444,0.3315068493150684,0.2988505747126436,0.2884615384615384,,,,
Palacio,40.42265,-3.71041,Entire rental unit,Entire home/apt,2,0.0,1.0,0.0,0.68,0.56,within an hour,208.0,1,3,12,30,48,1,15,5,5,4.8,4.8,4.8,5.0,2.83,88.0,Madrid,1.0,5,1.0,1.0,1.0,0.4782608695652174,0.8131868131868132,1.0,1.0,0.6555555555555556,0.3315068493150684,0.8544061302681992,0.903846153846154,,,,
Justicia,40.42491,-3.7004,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,0.86,0.57,within a day,541.0,0,0,24,54,329,1,365,1,1,5.0,5.0,5.0,4.0,0.65,101.0,Madrid,1.0,20,0.0,0.0,0.1739130434782608,0.217391304347826,0.3956043956043956,0.0,0.0,0.0,0.3315068493150684,0.0996168582375478,0.0961538461538461,,,,
Trafalgar,40.42971,-3.69912,Entire rental unit,Entire home/apt,6,3.0,4.0,0.0,0.97,0.99,within an hour,904.0,1,0,0,0,111,30,330,1,0,5.0,5.0,5.0,4.0,0.04,208.0,Madrid,4.0,26,1.0,0.2307692307692307,0.5543478260869565,1.0,1.0,0.5652173913043479,0.2282608695652174,1.0,0.3315068493150684,0.6973180076628352,0.6923076923076923,,,,
Sol,40.41475,-3.70377,Private room in rental unit,Private room,4,1.0,3.0,0.0,1.0,0.8,Unknown,12.0,1,2,6,14,253,1,365,0,0,4.75,4.79,4.85,4.64,1.42,145.0,Madrid,1.0,8,0.1999999999999999,0.0879120879120879,0.217391304347826,0.7173913043478262,0.7252747252747253,0.1739130434782608,0.0760869565217391,0.2555555555555555,0.3315068493150684,0.3065134099616858,0.3076923076923077,,,,
