listing_id,city,price_eur,log_price_eur,neighbourhood_cleansed,neighbourhood_group,latitude,longitude,distance_to_center_km,is_central_5km,neighbourhood_listing_count,property_type,property_group,room_type,accommodates,bedrooms,beds,bathrooms,bathroom_type,amenities_count,has_wifi,has_kitchen,has_air_conditioning,has_washer,has_dedicated_workspace,has_tv,has_parking,has_elevator,has_heating,has_self_checkin,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_tenure_days,days_since_last_review,review_history_days,has_reviews,minimum_nights_capped,is_professional_host,calendar_days,calendar_available_days,calendar_unavailable_days,calendar_unavailable_rate,calendar_unavailable_q1,calendar_unavailable_q2,calendar_unavailable_q3,calendar_unavailable_q4,calendar_unavailable_autumn,calendar_unavailable_spring,calendar_unavailable_summer,calendar_unavailable_winter,calendar_unavailable_weekday,calendar_unavailable_weekend,raw_review_total_reviews,raw_reviews_last_6m
1315934294744570771,Madrid,59.0,4.0943445622221,Palacio,Centro,40.41469738190135,-3.7088168209069248,0.4848,1,1354,Private room in rental unit,Apartment/condo,Private room,2,1.0,1.0,1.0,Shared,6,1,1,1,1,0,1,0,0,0,0,2025-09-15,2016-10-31,,,0.25,0.0,1.0,3.0,1.0,1.0,1,365,1.0,0,0,0,257,1,1,0,0,2025-01-01,2025-01-01,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,1,0,1,0,0.12,3241.0,257.0,0.0,1,1,0,365,257,108,0.2958904109589041,0.0,0.0,0.1739130434782608,1.0,0.8461538461538461,0.0,0.0,0.3444444444444444,0.2988505747126437,0.2884615384615384,1.0,0.0
21002529,Madrid,189.0,5.247024072160486,Palacio,Centro,40.41492,-3.70858,0.4555,1,1354,Entire rental unit,Apartment/condo,Entire home/apt,4,2.0,2.0,1.0,Standard,47,1,1,1,1,1,1,1,0,1,1,2025-09-15,2014-05-12,within an hour,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,60,1.0,3,16,32,74,430,87,5,82,2017-10-30,2025-09-07,4.9,4.89,4.96,4.89,4.94,4.96,4.83,1.0,1,1,0,0,4.48,4144.0,8.0,2869.0,1,2,0,365,74,291,0.7972602739726027,0.6555555555555556,1.0,0.9891304347826086,0.5434782608695652,0.7472527472527473,1.0,1.0,0.4333333333333333,0.7816091954022989,0.8365384615384616,430.0,44.0
9959387,Madrid,151.0,5.0238805208462765,Cortes,Centro,40.41593,-3.69772,0.5237,1,758,Entire rental unit,Apartment/condo,Entire home/apt,8,2.0,4.0,1.0,Standard,36,1,1,1,1,1,1,1,1,1,1,2025-09-15,2015-12-12,within an hour,0.98,1.0,1.0,7.0,7.0,1.0,1.0,2,32,1.0,5,14,25,118,602,83,5,82,2016-03-26,2025-09-02,4.82,4.84,4.88,4.9,4.89,4.97,4.76,1.0,6,6,0,0,5.22,3565.0,13.0,3447.0,1,2,1,365,118,247,0.6767123287671233,0.6777777777777778,1.0,0.3260869565217391,0.7065217391304348,0.6263736263736264,1.0,0.5108695652173914,0.5666666666666667,0.6475095785440613,0.75,602.0,44.0
21389483,Madrid,136.0,4.919980925828125,Jerónimos,Retiro,40.40789,-3.68814,1.6551,1,78,Entire rental unit,Apartment/condo,Entire home/apt,3,1.0,3.0,1.0,Standard,33,1,1,1,0,0,1,1,1,1,0,2025-09-14,2014-07-03,within an hour,1.0,0.99,1.0,5.0,6.0,1.0,1.0,1,1125,1.0,0,2,10,242,729,94,9,87,2017-11-03,2025-09-14,4.89,4.92,4.96,4.91,4.95,4.88,4.88,1.0,5,5,0,0,7.61,4091.0,0.0,2872.0,1,1,1,365,242,123,0.336986301369863,0.1444444444444444,0.1538461538461538,0.2608695652173913,0.782608695652174,0.8901098901098901,0.0652173913043478,0.0869565217391304,0.3111111111111111,0.3192307692307692,0.3809523809523809,729.0,48.0
1137498773087693840,Madrid,164.0,5.10594547390058,Cortes,Centro,40.415749903,-3.70135539,0.2376,1,758,Entire rental unit,Apartment/condo,Entire home/apt,4,1.0,2.0,1.0,Standard,19,1,1,1,1,0,1,0,1,1,0,2025-09-15,2012-06-22,within a day,0.75,1.0,0.0,24.0,31.0,1.0,1.0,1,365,1.0,3,21,39,279,4,1,0,4,2024-06-22,2024-10-08,5.0,5.0,5.0,4.75,5.0,4.75,5.0,1.0,22,22,0,0,0.27,4833.0,342.0,108.0,1,1,1,365,279,86,0.2356164383561644,0.0111111111111111,0.0,0.4891304347826087,0.4347826086956521,0.5054945054945055,0.0,0.3369565217391304,0.1,0.2260536398467433,0.2596153846153846,4.0,0.0
41169978,Madrid,96.0,4.574710978503383,Universidad,Centro,40.42088,-3.70448,0.4573,1,1566,Entire rental unit,Apartment/condo,Entire home/apt,2,0.0,1.0,1.0,Standard,20,1,1,1,1,0,1,0,0,1,0,2025-09-15,2018-12-29,within an hour,1.0,1.0,,4.0,4.0,1.0,1.0,3,30,1.0,0,3,10,10,211,52,5,45,2020-01-07,2025-09-12,4.95,4.98,4.98,4.95,4.99,4.93,4.9,0.0,2,2,0,0,3.04,2452.0,3.0,2075.0,1,3,0,365,10,355,0.9726027397260274,1.0,1.0,1.0,0.8913043478260869,0.8901098901098901,1.0,1.0,1.0,0.9770114942528736,0.9615384615384616,211.0,24.0
34649770,Madrid,164.0,5.10594547390058,Sol,Centro,40.4161,-3.70646,0.2383,1,994,Entire serviced apartment,Hotel/serviced,Entire home/apt,4,0.0,4.0,1.0,Standard,24,1,1,1,1,0,1,0,1,1,1,2025-09-15,2018-06-25,within an hour,0.87,1.0,0.0,16.0,21.0,1.0,1.0,2,60,1.0,0,3,10,14,3,1,0,0,2021-02-12,2025-07-12,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,13,13,0,0,0.05,2639.0,65.0,1611.0,1,2,1,365,14,351,0.9616438356164384,1.0,1.0,1.0,0.8478260869565217,0.9230769230769232,1.0,1.0,0.9222222222222224,0.950191570881226,0.9903846153846154,3.0,1.0
9294088,Madrid,146.0,4.990432586778736,Cortes,Centro,40.41394,-3.70068,0.4134,1,758,Entire rental unit,Apartment/condo,Entire home/apt,3,1.0,3.0,1.0,Standard,42,1,1,1,1,1,1,0,1,1,0,2025-09-15,2015-04-19,within a day,0.97,0.93,1.0,10.0,10.0,1.0,1.0,3,300,1.0,0,9,19,151,209,47,2,45,2016-02-29,2025-08-21,4.96,4.96,4.97,4.95,4.99,4.98,4.94,0.0,10,10,0,0,1.8,3802.0,25.0,3461.0,1,3,1,365,151,214,0.5863013698630137,0.7,0.6263736263736264,0.2934782608695652,0.7282608695652174,0.7472527472527473,0.7717391304347826,0.2065217391304347,0.6222222222222222,0.5708812260536399,0.625,209.0,24.0
1395454396388030992,Madrid,97.0,4.584967478670572,Sol,Centro,40.41647050821802,-3.703531851790239,0.0431,1,994,Entire rental unit,Apartment/condo,Entire home/apt,2,1.0,1.0,1.0,Standard,25,1,1,1,1,0,1,0,0,0,0,2025-09-15,2013-06-04,within an hour,1.0,0.85,1.0,1.0,1.0,1.0,1.0,2,365,1.0,3,16,37,56,38,38,8,0,2025-04-19,2025-09-10,4.87,4.89,4.82,4.92,4.97,4.84,4.84,0.0,1,1,0,0,7.6,4486.0,5.0,144.0,1,2,0,365,56,309,0.8465753424657534,1.0,0.989010989010989,1.0,0.4021739130434782,0.7032967032967034,0.9891304347826086,1.0,0.6888888888888889,0.8314176245210728,0.8846153846153846,38.0,38.0
8550478,Madrid,262.0,5.572154032177765,Palacio,Centro,40.41673,-3.70969,0.4987,1,1354,Entire rental unit,Apartment/condo,Entire home/apt,5,2.0,3.0,1.0,Standard,56,1,1,1,1,1,1,1,0,1,1,2025-09-15,2021-04-25,,,,,13.0,17.0,1.0,0.0,4,360,1.0,16,41,67,67,502,78,6,72,2015-09-28,2025-09-09,4.9,4.88,4.93,4.91,4.96,4.97,4.79,1.0,4,4,0,0,4.14,1604.0,6.0,3634.0,1,4,1,365,67,298,0.8164383561643835,1.0,1.0,0.9782608695652174,0.2934782608695652,0.3736263736263736,1.0,1.0,0.8888888888888888,0.8199233716475096,0.8076923076923077,502.0,41.0
