neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,host_is_superhost,host_response_rate,host_acceptance_rate,host_response_time,host_listings_count,instant_bookable,availability_30,availability_60,availability_90,availability_365,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,city,bathrooms,amenities_count,occupancy_q1,occupancy_q2,occupancy_q3,occupancy_q4,occupancy_autumn,occupancy_spring,occupancy_summer,occupancy_winter,occupancy_rate,occupancy_weekday,occupancy_weekend,total_reviews,days_since_last_review,listing_age_days,reviews_last_6m
Sumida Ku,35.73032,139.81856,Entire home,Entire home/apt,7,2.0,3.0,0.0,1.0,1.0,within an hour,36.0,1,9,39,69,159,2,365,28,28,4.79,4.86,4.79,4.82,2.98,131.6012,Tokyo,1.0,51,0.0444444444444444,1.0,1.0,0.2065217391304348,0.5384615384615384,0.7065217391304348,1.0,0.0,0.5506849315068494,0.5593869731800767,0.5769230769230769,28.0,219.0,494.0,0.0
Shinjuku Ku,35.70054,139.7073,Entire rental unit,Entire home/apt,4,1.0,1.0,0.0,1.0,1.0,Unknown,37.0,1,0,12,36,44,1,365,128,3,4.89,4.94,4.8,4.8,1.52,177.9896,Tokyo,1.0,32,0.9444444444444444,1.0,1.0,0.5760869565217391,0.8461538461538461,1.0,1.0,0.6666666666666667,0.5506849315068494,0.8735632183908046,0.8942307692307693,128.0,428.0,2737.0,0.0
Shibuya Ku,35.68071679026832,139.68051813631791,Entire rental unit,Entire home/apt,4,1.0,0.0,0.0,1.0,1.0,within an hour,1.0,1,8,13,23,236,2,365,68,46,4.72,4.63,4.81,4.71,3.52,77.4132,Tokyo,1.0,31,0.3777777777777777,0.2527472527472527,0.0434782608695651,0.7391304347826086,0.5494505494505495,0.4021739130434782,0.0217391304347825,0.4444444444444444,0.5506849315068494,0.3524904214559387,0.3557692307692307,68.0,224.0,792.0,0.0
Adachi Ku,35.76922,139.8447,Entire home,Entire home/apt,11,3.0,6.0,0.0,1.0,1.0,within an hour,17.0,1,25,55,85,360,1,365,29,15,4.66,4.62,4.69,4.59,1.34,144.9622,Tokyo,1.0,40,0.0,0.0,0.0108695652173913,0.0434782608695651,0.0549450549450549,0.0,0.0,0.0,0.5506849315068494,0.0114942528735632,0.0192307692307692,29.0,230.0,863.0,0.0
Justicia,40.4262329,-3.6965183,Private room in rental unit,Private room,7,7.0,7.0,0.0,0.22,0.05,a few days or more,175.0,0,0,0,0,257,30,365,0,0,4.75,4.79,4.85,4.64,1.42,38.0,Madrid,2.0,5,0.0,0.0,0.1847826086956522,0.9891304347826086,0.8571428571428572,0.0,0.0,0.3333333333333333,0.3315068493150684,0.2961538461538461,0.2952380952380952,,,,
Taito Ku,35.7212,139.7909,Room in hotel,Private room,3,1.0,2.0,1.0,1.0,1.0,within an hour,16.0,1,5,13,25,111,2,365,59,29,4.75,4.86,4.39,4.61,1.63,91.1648,Tokyo,1.0,14,0.0444444444444444,1.0,1.0,0.7282608695652174,0.8351648351648352,0.6956521739130435,1.0,0.2444444444444444,0.5506849315068494,0.7011494252873562,0.6826923076923077,59.0,265.0,1298.0,0.0
Valdeacederas,40.46351,-3.69696,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,0.6,0.83,within a day,52.0,1,0,0,0,168,30,335,0,0,4.75,4.79,4.85,4.64,1.42,87.0,Madrid,1.0,32,0.9888888888888888,0.0,0.1739130434782608,1.0,0.8461538461538461,0.3260869565217391,0.0,1.0,0.3315068493150684,0.5402298850574713,0.5384615384615384,,,,
Embajadores,40.40719,-3.69953,Private room in rental unit,Private room,2,1.0,1.0,1.0,1.0,0.99,within an hour,1.0,0,6,22,37,37,2,1125,478,76,4.85,4.7,4.89,4.8,5.0,45.0,Madrid,1.0,29,1.0,1.0,0.9891304347826086,0.6086956521739131,0.5934065934065934,1.0,1.0,1.0,0.3315068493150684,0.9003831417624522,0.8942307692307693,,,,
Cortes,40.4148,-3.70158,Entire rental unit,Entire home/apt,4,2.0,3.0,0.0,0.67,0.47,within a day,47.0,0,0,0,0,156,30,330,0,0,4.75,4.79,4.85,4.64,1.42,113.0,Madrid,2.0,24,0.0666666666666666,0.2087912087912088,1.0,1.0,1.0,0.0,0.8804347826086957,0.4111111111111111,0.3315068493150684,0.5708812260536398,0.5769230769230769,,,,
Taito Ku,35.711275,139.794925,Private room in hostel,Private room,2,1.0,1.0,0.0,1.0,1.0,within an hour,9.0,1,5,9,19,162,1,365,4,4,4.75,4.75,5.0,4.75,0.38,150.505,Tokyo,1.0,38,0.2555555555555555,0.5274725274725275,0.6521739130434783,0.782608695652174,0.9010989010989012,0.4891304347826086,0.3913043478260869,0.4444444444444444,0.5506849315068494,0.5632183908045977,0.5384615384615384,4.0,464.0,524.0,0.0
